team,avg_lap_time,latitude,longitude,circuitType,precipitation,windspeed,temp,race_condition
Red Bull,110.2018,24.4672,54.6031,Race circuit,0.0,10.5,77.4,Dry
Toro Rosso,110.64389999999999,24.4672,54.6031,Race circuit,0.0,10.5,77.4,Dry
Williams,110.3656,24.4672,54.6031,Race circuit,0.0,10.5,77.4,Dry
McLaren,116.5646,24.4672,54.6031,Race circuit,0.0,10.5,77.4,Dry
Sauber,115.1596,24.4672,54.6031,Race circuit,0.0,10.5,77.4,Dry
Lotus F1,112.03099999999999,24.4672,54.6031,Race circuit,0.0,10.5,77.4,Dry
Manor Marussia,115.09820000000002,24.4672,54.6031,Race circuit,0.0,10.5,77.4,Dry
Ferrari,93.21560000000001,-37.8497,144.968,Street circuit,0.02,7.2,59.0,Damp
Mercedes,93.92890000000001,-37.8497,144.968,Street circuit,0.02,7.2,59.0,Damp
Toro Rosso,94.5923,-37.8497,144.968,Street circuit,0.02,7.2,59.0,Damp
Williams,96.2836,-37.8497,144.968,Street circuit,0.02,7.2,59.0,Damp
Force India,96.36339999999998,-37.8497,144.968,Street circuit,0.02,7.2,59.0,Damp
Red Bull,95.785,-37.8497,144.968,Street circuit,0.02,7.2,59.0,Damp
McLaren,96.587,-37.8497,144.968,Street circuit,0.02,7.2,59.0,Damp
Renault,107.02433333333335,-37.8497,144.968,Street circuit,0.02,7.2,59.0,Damp
Manor Marussia,97.91355555555556,-37.8497,144.968,Street circuit,0.02,7.2,59.0,Damp
Sauber,97.70722222222223,-37.8497,144.968,Street circuit,0.02,7.2,59.0,Damp
Haas F1 Team,99.65337499999998,-37.8497,144.968,Street circuit,0.02,7.2,59.0,Damp
Mercedes,99.05649999999999,26.0325,50.5106,Race circuit,0.0,11.0,69.3,Dry
Williams,99.56309999999999,26.0325,50.5106,Race circuit,0.0,11.0,69.3,Dry
Red Bull,100.8397,26.0325,50.5106,Race circuit,0.0,11.0,69.3,Dry
Ferrari,99.9162,26.0325,50.5106,Race circuit,0.0,11.0,69.3,Dry
Haas F1 Team,100.51920000000001,26.0325,50.5106,Race circuit,0.0,11.0,69.3,Dry
Toro Rosso,106.9367,26.0325,50.5106,Race circuit,0.0,11.0,69.3,Dry
